Rozmiar tablicy;Podstawa d;Liczba cyfr k;Srednie przypisania;Sredni czas (ms);;;;;Rozmiar tablicy;Srednie przypisania;Sredni czas (ms);Podstawa d
1000;2;11;11000;0;;;;;1000;11000;0;2
1000;4;6;6000;0;;;;;5000;70000;0,6;2
1000;8;4;4000;0;;;;;10000;150000;1,6;2
1000;10;4;4000;0;;;;;25000;400000;4,2;2
1000;16;3;3000;0;;;;;50000;850000;8;2
5000;2;14;70000;0,6;;;;;75000;1350000;12,2;2
5000;4;7;35000;0,2;;;;;100000;1800000;16,4;2
5000;8;5;25000;0,2;;;;;;;;
5000;10;5;25000;0,2;;;;;1000;6000;0;4
5000;16;4;20000;0;;;;;5000;35000;0,2;4
10000;2;15;150000;1,6;;;;;10000;80000;0,8;4
10000;4;8;80000;0,8;;;;;25000;200000;1,6;4
10000;8;5;50000;0,4;;;;;50000;450000;3,8;4
10000;10;5;50000;0,4;;;;;75000;675000;6;4
10000;16;4;40000;0,4;;;;;100000;900000;7,4;4
25000;2;16;400000;4,2;;;;;;;;
25000;4;8;200000;1,6;;;;;1000;4000;0;8
25000;8;6;150000;1,4;;;;;5000;25000;0,2;8
25000;10;5;125000;1;;;;;10000;50000;0,4;8
25000;16;4;100000;0,8;;;;;25000;150000;1,4;8
50000;2;17;850000;8;;;;;50000;300000;2,4;8
50000;4;9;450000;3,8;;;;;75000;450000;3,6;8
50000;8;6;300000;2,4;;;;;100000;600000;5,2;8
50000;10;6;300000;2,6;;;;;;;;
50000;16;5;250000;2;;;;;1000;4000;0;10
75000;2;18;1350000;12,2;;;;;5000;25000;0,2;10
75000;4;9;675000;6;;;;;10000;50000;0,4;10
75000;8;6;450000;3,6;;;;;25000;125000;1;10
75000;10;6;450000;3,6;;;;;50000;300000;2,6;10
75000;16;5;375000;3;;;;;75000;450000;3,6;10
100000;2;18;1800000;16,4;;;;;100000;600000;5;10
100000;4;9;900000;7,4;;;;;;;;
100000;8;6;600000;5,2;;;;;1000;3000;0;16
100000;10;6;600000;5;;;;;5000;20000;0;16
100000;16;5;500000;4,2;;;;;10000;40000;0,4;16
;;;;;;;;;25000;100000;0,8;16
;;;;;;;;;50000;250000;2;16
;;;;;;;;;75000;375000;3;16
;;;;;;;;;100000;500000;4,2;16
