Dlugosc;Czas_ms;Wynik;;;;;;;;;;Dlugosc;rek
500;5;;;;;;;;;;;500;5,4
1000;19;;;;;;;;;;;1000;18
1500;36,2;;;;;;;;;;;1500;41,2
2000;71;;;;;;;;;;;2000;72
2500;106,2;;;;;;;;;;;2500;113,2
3000;142,6;;;;;;;;;;;3000;162,6
3500;184,6;;;;;;;;;;;3500;320,4
4000;217,8;;;;;;;;;;;4000;491,6
4500;273,8;;;;;;;;;;;4500;658
5000;352,6;;;;;;;;;;;5000;833,6
5500;426,4;;;;;;;;;;;5500;1029,6
6000;496,8;;;;;;;;;;;6000;1166
6500;575,2;;;;;;;;;;;6500;1418,6
7000;658;;;;;;;;;;;7000;1618,4
7500;728,8;;;;;;;;;;;7500;1848,2
8000;856,8;;;;;;;;;;;8000;2084
8500;951,4;;;;;;;;;;;8500;2372,6
9000;1075,8;;;;;;;;;;;9000;2642,4
9500;1216,2;;;;;;;;;;;9500;2892,6
10000;1293;;;;;;;;;;;10000;3252
